S-10B Kaldi   0 0.248588 S:21, I:2, D:21
S-6B Google  4 0.408451 S:114, I:5, D:55
S-6B Kaldi   5 0.259259 S:103, I:5, D:18
S-6B Google  5 0.401235 S:127, I:5, D:63
S-5A Kaldi   0 0.361233 S:106, I:17, D:41
S-5A Google  0 0.535242 S:104, I:1, D:138
S-5A Kaldi   1 0.301724 S:42, I:5, D:23
S-5A Google  1 0.495690 S:44, I:1, D:70
S-5A Kaldi   2 0.297935 S:116, I:21, D:65
S-5A Google  2 0.442478 S:132, I:9, D:159
S-5A Kaldi   3 0.241379 S:50, I:6, D:28
S-5A Google  3 0.425287 S:60, I:1, D:87
S-5A Kaldi   4 0.230769 S:43, I:5, D:27
S-5A Google  4 0.418462 S:53, I:3, D:80
S-5A Kaldi   5 0.291242 S:85, I:7, D:51
S-5A Google  5 0.482688 S:114, I:1, D:122
S-11C Kaldi   0 0.169231 S:23, I:3, D:7
S-11C Google  0 0.276923 S:18, I:2, D:34
S-11C Kaldi   1 0.235669 S:24, I:2, D:11
S-11C Google  1 0.420382 S:19, I:0, D:47
S-11C Kaldi   2 0.182796 S:42, I:5, D:21
S-11C Google  2 0.263441 S:55, I:0, D:43
S-11C Kaldi   3 0.193878 S:42, I:4, D:30
S-11C Google  3 0.267857 S:37, I:0, D:68
S-11C Kaldi   4 0.105263 S:35, I:2, D:23
S-11C Google  4 0.228070 S:70, I:3, D:57
S-11C Kaldi   5 0.114786 S:30, I:8, D:21
S-11C Google  5 0.223735 S:58, I:3, D:54
S-11C Kaldi   6 0.200957 S:26, I:4, D:12
S-11C Google  6 0.287081 S:33, I:1, D:26
S-11C Kaldi   7 0.128906 S:20, I:0, D:13
S-11C Google  7 0.261719 S:36, I:1, D:30
S-11C Kaldi   8 0.184466 S:10, I:5, D:4
S-11C Google  8 0.262136 S:13, I:1, D:13
S-16D Kaldi   0 0.228013 S:49, I:8, D:13
S-16D Google  0 0.260586 S:43, I:2, D:35
S-16D Kaldi   1 0.190476 S:61, I:8, D:27
S-16D Google  1 0.220238 S:45, I:1, D:65
S-16D Kaldi   2 0.239865 S:49, I:7, D:15
S-16D Google  2 0.273649 S:30, I:1, D:50
S-16D Kaldi   3 0.162602 S:49, I:12, D:19
S-16D Google  3 0.215447 S:46, I:2, D:58
S-16D Kaldi   4 0.181592 S:51, I:2, D:20
S-16D Google  4 0.253731 S:37, I:2, D:63
S-16D Kaldi   5 0.228956 S:51, I:7, D:10
S-16D Google  5 0.245791 S:27, I:1, D:45
S-16D Kaldi   6 0.347458 S:24, I:8, D:9
S-16D Google  6 0.406780 S:16, I:0, D:32
S-16D Kaldi   7 0.285714 S:13, I:2, D:1
S-16D Google  7 0.321429 S:6, I:1, D:11
S-16D Kaldi   8 0.181818 S:16, I:1, D:7
S-16D Google  8 0.265152 S:14, I:0, D:21
S-16D Kaldi   9 0.433333 S:10, I:1, D:2
S-16D Google  9 0.466667 S:2, I:0, D:12
S-16D Kaldi   10 0.250000 S:8, I:1, D:1
S-16D Google  10 0.350000 S:7, I:1, D:6
S-16D Kaldi   11 0.227848 S:11, I:6, D:1
S-16D Google  11 0.227848 S:4, I:0, D:14
S-16D Kaldi   12 0.244444 S:9, I:2, D:0
S-16D Google  12 0.266667 S:3, I:0, D:9
S-20D Kaldi   0 0.392996 S:59, I:8, D:34
S-20D Google  0 0.513619 S:59, I:1, D:72
S-20D Kaldi   1 0.264026 S:45, I:7, D:28
S-20D Google  1 0.402640 S:70, I:2, D:50
S-20D Kaldi   2 0.312500 S:66, I:3, D:26
S-20D Google  2 0.463816 S:55, I:1, D:85
S-20D Kaldi   3 0.384956 S:58, I:0, D:29
S-20D Google  3 0.415929 S:44, I:3, D:47
S-20D Kaldi   4 0.282369 S:144, I:19, D:42
S-20D Google  4 0.360882 S:139, I:10, D:113
S-20D Kaldi   5 0.286058 S:78, I:8, D:33
S-20D Google  5 0.401442 S:72, I:3, D:92
S-20D Kaldi   6 0.764706 S:20, I:1, D:5
S-20D Google  6 0.794118 S:4, I:0, D:23
S-20D Kaldi   7 0.565217 S:21, I:2, D:3
S-20D Google  7 0.717391 S:17, I:0, D:16
S-20D Kaldi   8 0.350000 S:4, I:0, D:3
S-20D Google  8 0.500000 S:6, I:0, D:4
S-20D Kaldi   9 0.551282 S:23, I:11, D:9
S-20D Google  9 0.474359 S:21, I:2, D:14
S-20D Kaldi   10 0.460000 S:33, I:5, D:8
S-20D Google  10 0.520000 S:28, I:2, D:22
S-20D Kaldi   11 0.422535 S:21, I:4, D:5
S-20D Google  11 0.521127 S:26, I:1, D:10
S-29A Kaldi   0 0.157025 S:23, I:2, D:13
S-29A Google  0 0.301653 S:27, I:2, D:44
S-29A Kaldi   1 0.213287 S:33, I:3, D:25
S-29A Google  1 0.297203 S:24, I:1, D:60
S-29A Kaldi   2 0.175258 S:21, I:1, D:29
S-29A Google  2 0.402062 S:19, I:0, D:98
S-29A Kaldi   3 0.178344 S:27, I:2, D:27
S-29A Google  3 0.312102 S:31, I:1, D:66
S-29A Kaldi   4 0.182171 S:42, I:13, D:39
S-29A Google  4 0.323643 S:41, I:6, D:120
S-29A Kaldi   5 0.144981 S:16, I:3, D:20
S-29A Google  5 0.267658 S:23, I:2, D:47
S-29A Kaldi   6 0.200000 S:3, I:0, D:4
S-29A Google  6 0.314286 S:0, I:0, D:11
S-29A Kaldi   7 0.240964 S:12, I:2, D:6
S-29A Google  7 0.277108 S:6, I:1, D:16
S-29A Kaldi   8 0.178082 S:8, I:3, D:2
S-29A Google  8 0.205479 S:5, I:0, D:10
S-29A Kaldi   9 0.200000 S:3, I:0, D:5
S-29A Google  9 0.500000 S:7, I:1, D:12
S-29A Kaldi   10 0.205882 S:8, I:0, D:6
S-29A Google  10 0.323529 S:7, I:1, D:14
S-29A Kaldi   11 0.360000 S:9, I:0, D:9
S-29A Google  11 0.260000 S:2, I:0, D:11
S-14B Kaldi   0 0.342105 S:71, I:14, D:32
S-14B Google  0 0.450292 S:67, I:2, D:85
S-14B Kaldi   1 0.321937 S:59, I:6, D:48
S-14B Google  1 0.435897 S:62, I:3, D:88
S-14B Kaldi   2 0.286154 S:58, I:6, D:29
S-14B Google  2 0.400000 S:64, I:4, D:62
S-14B Kaldi   3 0.446809 S:43, I:5, D:15
S-14B Google  3 0.560284 S:39, I:0, D:40
S-14B Kaldi   4 0.296875 S:54, I:10, D:31
S-14B Google  4 0.453125 S:60, I:4, D:81
S-14B Kaldi   5 0.228632 S:62, I:9, D:36
S-14B Google  5 0.352564 S:70, I:7, D:88
S-14B Kaldi   6 0.264706 S:12, I:0, D:6
S-14B Google  6 0.426471 S:7, I:0, D:22
S-14B Kaldi   7 0.358696 S:21, I:3, D:9
S-14B Google  7 0.326087 S:6, I:1, D:23
S-14B Kaldi   8 0.290323 S:4, I:0, D:5
S-14B Google  8 0.354839 S:2, I:0, D:9
S-32D Kaldi   0 0.432540 S:48, I:25, D:36
S-32D Google  0 0.527778 S:48, I:9, D:76
S-32D Kaldi   1 0.257143 S:42, I:3, D:36
S-32D Google  1 0.403175 S:36, I:1, D:90
S-32D Kaldi   2 0.403922 S:55, I:7, D:41
S-32D Google  2 0.501961 S:44, I:0, D:84
S-32D Kaldi   3 0.216783 S:31, I:3, D:28
S-32D Google  3 0.440559 S:26, I:1, D:99
S-32D Kaldi   4 0.286195 S:38, I:5, D:42
S-32D Google  4 0.585859 S:31, I:1, D:142
S-32D Kaldi   5 0.245614 S:33, I:3, D:20
S-32D Google  5 0.403509 S:30, I:0, D:62
S-32D Kaldi   6 0.363636 S:9, I:0, D:19
S-32D Google  6 0.610390 S:11, I:0, D:36
S-32D Kaldi   7 0.305556 S:12, I:0, D:21
S-32D Google  7 0.509259 S:18, I:0, D:37
S-32D Kaldi   8 0.281250 S:6, I:0, D:3
S-32D Google  8 0.468750 S:5, I:0, D:10
S-32D Kaldi   9 0.323171 S:29, I:3, D:21
S-32D Google  9 0.390244 S:27, I:1, D:36
S-32D Kaldi   10 0.400000 S:4, I:1, D:1
S-32D Google  10 0.800000 S:2, I:1, D:9
S-32D Kaldi   11 0.275862 S:6, I:6, D:4
S-32D Google  11 0.500000 S:12, I:8, D:9
S-22B Kaldi   0 0.253394 S:36, I:4, D:16
S-22B Google  0 0.443439 S:34, I:2, D:62
S-22B Kaldi   1 0.213675 S:36, I:6, D:8
S-22B Google  1 0.346154 S:29, I:3, D:49
S-22B Kaldi   2 0.216495 S:82, I:14, D:30
S-22B Google  2 0.376289 S:102, I:5, D:112
S-22B Kaldi   3 0.191235 S:26, I:6, D:16
S-22B Google  3 0.382470 S:30, I:1, D:65
S-22B Kaldi   4 0.231672 S:38, I:4, D:37
S-22B Google  4 0.442815 S:53, I:1, D:97
S-22B Kaldi   5 0.190349 S:46, I:8, D:17
S-22B Google  5 0.402145 S:51, I:4, D:95
S-22B Kaldi   6 0.272727 S:4, I:0, D:5
S-22B Google  6 0.515152 S:7, I:0, D:10
S-22B Kaldi   7 0.182927 S:21, I:1, D:8
S-22B Google  7 0.280488 S:23, I:1, D:22
S-22B Kaldi   8 0.186667 S:28, I:2, D:12
S-22B Google  8 0.355556 S:32, I:1, D:47
S-22B Kaldi   9 0.136364 S:3, I:1, D:2
S-22B Google  9 0.272727 S:3, I:0, D:9
S-22B Kaldi   10 0.202970 S:31, I:2, D:8
S-22B Google  10 0.311881 S:32, I:1, D:30
S-22B Kaldi   11 0.194175 S:27, I:5, D:8
S-22B Google  11 0.407767 S:41, I:2, D:41
S-4D Kaldi   0 0.472119 S:169, I:11, D:74
S-4D Google  0 0.602230 S:140, I:6, D:178
S-4D Kaldi   1 0.422078 S:114, I:12, D:69
S-4D Google  1 0.586580 S:110, I:3, D:158
S-4D Kaldi   2 0.374622 S:64, I:5, D:55
S-4D Google  2 0.549849 S:73, I:3, D:106
S-4D Kaldi   3 0.358904 S:61, I:6, D:64
S-4D Google  3 0.534247 S:89, I:1, D:105
S-4D Kaldi   4 0.368421 S:91, I:9, D:75
S-4D Google  4 0.530526 S:117, I:4, D:131
S-4D Kaldi   5 0.378378 S:98, I:11, D:59
S-4D Google  5 0.583333 S:119, I:2, D:138
S-8D Kaldi   0 0.208178 S:36, I:5, D:15
S-8D Google  0 0.427509 S:36, I:3, D:76
S-8D Kaldi   1 0.173913 S:29, I:1, D:14
S-8D Google  1 0.339921 S:32, I:0, D:54
S-8D Kaldi   2 0.181818 S:42, I:7, D:31
S-8D Google  2 0.309091 S:38, I:1, D:97
S-8D Kaldi   3 0.298354 S:92, I:6, D:47
S-8D Google  3 0.407407 S:70, I:1, D:127
S-8D Kaldi   4 0.224105 S:73, I:10, D:36
S-8D Google  4 0.352166 S:80, I:4, D:103
S-8D Kaldi   5 0.199575 S:62, I:5, D:27
S-8D Google  5 0.337580 S:70, I:2, D:87
S-3C Kaldi   0 0.339056 S:37, I:12, D:30
S-3C Google  0 0.381974 S:42, I:2, D:45
S-3C Kaldi   1 0.339869 S:29, I:6, D:17
S-3C Google  1 0.398693 S:19, I:3, D:39
S-3C Kaldi   2 0.291444 S:58, I:2, D:49
S-3C Google  2 0.438503 S:45, I:7, D:112
S-3C Kaldi   3 0.213043 S:33, I:4, D:12
S-3C Google  3 0.326087 S:41, I:4, D:30
S-3C Kaldi   4 0.227991 S:62, I:7, D:32
S-3C Google  4 0.388262 S:87, I:11, D:74
S-3C Kaldi   5 0.304833 S:38, I:4, D:40
S-3C Google  5 0.397770 S:40, I:1, D:66
S-12D Kaldi   0 0.316667 S:23, I:1, D:14
S-12D Google  0 0.550000 S:26, I:1, D:39
S-12D Kaldi   1 0.363057 S:32, I:5, D:20
S-12D Google  1 0.560510 S:33, I:1, D:54
S-12D Kaldi   2 0.290698 S:10, I:3, D:12
S-12D Google  2 0.453488 S:18, I:0, D:21
S-12D Kaldi   3 0.325843 S:15, I:1, D:13
S-12D Google  3 0.595506 S:28, I:0, D:25
S-12D Kaldi   4 0.241758 S:27, I:1, D:16
S-12D Google  4 0.445055 S:40, I:0, D:41
S-12D Kaldi   5 0.352564 S:33, I:0, D:22
S-12D Google  5 0.570513 S:36, I:1, D:52
S-18B Kaldi   0 0.273649 S:55, I:7, D:19
S-18B Google  0 0.408784 S:43, I:1, D:77
S-18B Kaldi   1 0.197425 S:26, I:7, D:13
S-18B Google  1 0.339056 S:27, I:1, D:51
S-18B Kaldi   2 0.247191 S:32, I:6, D:6
S-18B Google  2 0.404494 S:29, I:3, D:40
S-18B Kaldi   3 0.220000 S:37, I:6, D:12
S-18B Google  3 0.408000 S:44, I:3, D:55
S-18B Kaldi   4 0.260714 S:37, I:10, D:26
S-18B Google  4 0.321429 S:33, I:3, D:54
S-18B Kaldi   5 0.146853 S:24, I:6, D:12
S-18B Google  5 0.304196 S:35, I:2, D:50
S-18B Kaldi   6 0.179487 S:10, I:3, D:8
S-18B Google  6 0.299145 S:17, I:1, D:17
S-18B Kaldi   7 0.185930 S:24, I:4, D:9
S-18B Google  7 0.316583 S:36, I:5, D:22
S-18B Kaldi   8 0.350000 S:9, I:0, D:5
S-18B Google  8 0.475000 S:9, I:0, D:10
S-18B Kaldi   9 0.700000 S:5, I:2, D:0
S-18B Google  9 0.900000 S:5, I:2, D:2
S-18B Kaldi   10 0.337838 S:18, I:5, D:2
S-18B Google  10 0.324324 S:8, I:0, D:16
S-18B Kaldi   11 0.260870 S:24, I:8, D:10
S-18B Google  11 0.372671 S:34, I:1, D:25
S-26B Kaldi   0 0.275862 S:17, I:2, D:5
S-26B Google  0 0.402299 S:13, I:0, D:22
S-26B Kaldi   1 0.293173 S:49, I:9, D:15
S-26B Google  1 0.385542 S:39, I:0, D:57
S-26B Kaldi   2 0.265233 S:50, I:10, D:14
S-26B Google  2 0.415771 S:67, I:3, D:46
S-26B Kaldi   3 0.370629 S:36, I:4, D:13
S-26B Google  3 0.503497 S:32, I:2, D:38
S-26B Kaldi   4 0.226804 S:40, I:3, D:23
S-26B Google  4 0.398625 S:58, I:4, D:54
S-26B Kaldi   5 0.416040 S:102, I:6, D:58
S-26B Google  5 0.523810 S:117, I:2, D:90
S-26B Kaldi   6 0.272222 S:34, I:2, D:13
S-26B Google  6 0.338889 S:18, I:1, D:42
S-26B Kaldi   7 0.303030 S:25, I:3, D:2
S-26B Google  7 0.313131 S:16, I:0, D:15
S-26B Kaldi   8 0.245614 S:13, I:5, D:10
S-26B Google  8 0.342105 S:20, I:3, D:16
S-26B Kaldi   9 0.392857 S:8, I:1, D:2
S-26B Google  9 0.392857 S:8, I:0, D:3
S-26B Kaldi   10 0.402174 S:27, I:1, D:9
S-26B Google  10 0.586957 S:33, I:2, D:19
S-26B Kaldi   11 0.375000 S:2, I:0, D:1
S-26B Google  11 0.625000 S:0, I:0, D:5
S-30B Kaldi   0 0.340611 S:51, I:5, D:22
S-30B Google  0 0.454148 S:35, I:2, D:67
S-30B Kaldi   1 0.337423 S:41, I:6, D:8
S-30B Google  1 0.429448 S:13, I:1, D:56
S-30B Kaldi   2 0.194079 S:41, I:5, D:13
S-30B Google  2 0.259868 S:22, I:1, D:56
S-30B Kaldi   3 0.213439 S:40, I:2, D:12
S-30B Google  3 0.280632 S:24, I:1, D:46
S-30B Kaldi   4 0.294949 S:95, I:5, D:46
S-30B Google  4 0.349495 S:66, I:1, D:106
S-30B Kaldi   5 0.234714 S:76, I:5, D:38
S-30B Google  5 0.307692 S:50, I:3, D:103
S-30B Kaldi   6 0.295082 S:10, I:0, D:8
S-30B Google  6 0.311475 S:1, I:0, D:18
S-30B Kaldi   7 0.256410 S:15, I:3, D:2
S-30B Google  7 0.333333 S:11, I:0, D:15
S-30B Kaldi   8 0.352941 S:8, I:1, D:3
S-30B Google  8 0.441176 S:1, I:0, D:14
S-30B Kaldi   9 0.188679 S:7, I:0, D:3
S-30B Google  9 0.528302 S:8, I:0, D:20
S-30B Kaldi   10 0.406250 S:12, I:0, D:1
S-30B Google  10 0.687500 S:5, I:0, D:17
S-30B Kaldi   11 0.339286 S:9, I:3, D:7
S-30B Google  11 0.446429 S:4, I:1, D:20
S-2B Kaldi   0 0.449541 S:33, I:2, D:14
S-2B Google  0 0.587156 S:14, I:0, D:50
S-2B Kaldi   1 0.580420 S:45, I:3, D:35
S-2B Google  1 0.692308 S:26, I:0, D:73
S-2B Kaldi   2 0.458586 S:141, I:11, D:75
S-2B Google  2 0.595960 S:146, I:6, D:143
S-2B Kaldi   3 0.340909 S:37, I:0, D:23
S-2B Google  3 0.494318 S:38, I:0, D:49
S-2B Kaldi   4 0.412568 S:100, I:6, D:45
S-2B Google  4 0.510929 S:87, I:1, D:99
S-2B Kaldi   5 0.365306 S:107, I:1, D:71
S-2B Google  5 0.559184 S:106, I:2, D:166
S-17A Kaldi   0 0.212810 S:70, I:9, D:24
S-17A Google  0 0.340909 S:72, I:6, D:87
S-17A Kaldi   1 0.148973 S:61, I:4, D:22
S-17A Google  1 0.268836 S:77, I:6, D:74
S-17A Kaldi   2 0.101266 S:21, I:5, D:6
S-17A Google  2 0.221519 S:27, I:4, D:39
S-17A Kaldi   3 0.167488 S:69, I:14, D:19
S-17A Google  3 0.298851 S:105, I:7, D:70
S-17A Kaldi   4 0.146417 S:62, I:5, D:27
S-17A Google  4 0.297508 S:98, I:5, D:88
S-17A Kaldi   5 0.146789 S:30, I:3, D:15
S-17A Google  5 0.305810 S:41, I:0, D:59
S-17A Kaldi   6 0.196154 S:38, I:7, D:6
S-17A Google  6 0.376923 S:62, I:5, D:31
S-17A Kaldi   7 0.189516 S:65, I:10, D:19
S-17A Google  7 0.356855 S:108, I:9, D:60
S-17A Kaldi   8 0.134783 S:22, I:3, D:6
S-17A Google  8 0.300000 S:31, I:5, D:33
S-17A Kaldi   9 0.155844 S:38, I:5, D:17
S-17A Google  9 0.257143 S:50, I:4, D:45
S-17A Kaldi   10 0.117864 S:38, I:7, D:19
S-17A Google  10 0.193370 S:54, I:6, D:45
S-17A Kaldi   11 0.176471 S:11, I:1, D:3
S-17A Google  11 0.200000 S:11, I:0, D:6
S-15C Kaldi   0 0.209677 S:42, I:4, D:6
S-15C Google  0 0.350806 S:40, I:2, D:45
S-15C Kaldi   1 0.215909 S:35, I:9, D:13
S-15C Google  1 0.291667 S:37, I:3, D:37
S-15C Kaldi   2 0.237209 S:31, I:7, D:13
S-15C Google  2 0.334884 S:34, I:4, D:34
S-15C Kaldi   3 0.204255 S:37, I:1, D:10
S-15C Google  3 0.297872 S:29, I:1, D:40
S-15C Kaldi   4 0.154684 S:42, I:14, D:15
S-15C Google  4 0.200436 S:37, I:5, D:50
S-15C Kaldi   5 0.210526 S:48, I:3, D:25
S-15C Google  5 0.349030 S:61, I:3, D:62
S-15C Kaldi   6 0.551724 S:12, I:1, D:3
S-15C Google  6 0.448276 S:6, I:1, D:6
S-15C Kaldi   7 0.412281 S:19, I:20, D:8
S-15C Google  7 0.578947 S:32, I:7, D:27
S-15C Kaldi   8 0.187291 S:28, I:15, D:13
S-15C Google  8 0.200669 S:34, I:2, D:24
S-24D Kaldi   0 0.310204 S:54, I:4, D:18
S-24D Google  0 0.514286 S:59, I:0, D:67
S-24D Kaldi   1 0.215385 S:33, I:5, D:18
S-24D Google  1 0.407692 S:50, I:2, D:54
S-24D Kaldi   2 0.264550 S:60, I:11, D:29
S-24D Google  2 0.444444 S:96, I:6, D:66
S-24D Kaldi   3 0.268499 S:83, I:14, D:30
S-24D Google  3 0.378436 S:96, I:4, D:79
S-24D Kaldi   4 0.224843 S:93, I:23, D:27
S-24D Google  4 0.404088 S:123, I:2, D:132
S-24D Kaldi   5 0.259109 S:72, I:13, D:43
S-24D Google  5 0.445344 S:121, I:3, D:96
S-24D Kaldi   6 0.228916 S:11, I:0, D:8
S-24D Google  6 0.469880 S:16, I:0, D:23
S-24D Kaldi   7 0.400000 S:17, I:5, D:2
S-24D Google  7 0.550000 S:25, I:1, D:7
S-24D Kaldi   8 0.224138 S:7, I:1, D:5
S-24D Google  8 0.293103 S:5, I:0, D:12
S-24D Kaldi   9 0.337580 S:35, I:13, D:5
S-24D Google  9 0.554140 S:50, I:0, D:37
S-24D Kaldi   10 0.205128 S:10, I:2, D:4
S-24D Google  10 0.500000 S:18, I:0, D:21
S-24D Kaldi   11 0.355769 S:24, I:3, D:10
S-24D Google  11 0.500000 S:23, I:2, D:27
Google mean: 0.417083, std: 0.124973 Kaldi mean: 0.284006, std: 0.105940
